,Название,Регион,Город,Район,Адрес,Индекс,Телефон,Мобильный телефон,Email,Email с сайта,Сайт,Рубрика,Подрубрика,Способы оплаты,vkontakte,twitter,facebook,skype,icq,odnoklassniki,youtube,instagram,latitude,longitude,coordinates,date_start_statistic,status,category,revenue,dist_to_closest_conquer,dist_to_closer_metro,metro_name,close_metro_coords,closer_metro_area,closer_metro_area_densyty,dist_to_closer_ostanovk,ostanovka_transp,ostanovka_coord,square,chisl,количество жителей в радиусе до конкурента методом домов,количество жителей в радиусе 2 км методом домов,население на 1 конкурента в радиусе 2 км методом по домам,количество конкурентов в радиусе 2 км,население на 1 конкурента в радиусе 2 км методом плотности,колич крупн торгово-офисн центр рядом,dist_to_conquer_aprise,dist_to_closer_metro_aprise,chisl_apprise,dist_to_close_ost_apr,среднее расстояние до метро по действ точкам,среднее расстояние до конкурента по действ точкам,среднея численность в радиусе до конкурента по действ точкам,rating,площадь объекта,coords,Класс:
0,"Mini med center, медицинский центр",Московская область,Москва,Выхино-Жулебино район,"Привольная, 13 к1",109145.0,"7 (495) 700-89-86, 7 (495) 504-65-88",,,minimedcentr@mail.ru,,"Красота / Здоровье, Медицинские услуги","Стоматологические центры, Услуги косметолога",Наличный расчёт,,,,,,,,,55.700082,37.838594,"[55.700082, 37.838594]",09.02.2020,old,expensive,45 680 тыс. руб. в год,173.7377854901675,880.3482287727085,Лермонтовский проспект,"[55.701765, 37.852275]",Выхино-Жулебино,15016.0,53.2288895941769,1-й мкр. Жулебина,"[55.70046282, 37.83808217]",94780.32885606623,1423.2214181026904,4270.388059701493,212638.87164179105,8178.418140068888,26.0,687.5254235142228,1.0,,,,,,,,,,,
1,"Санация, стоматологический центр",Московская область,Москва,Щукино район,"Авиационная, 68 к3",123182.0,"7 (499) 193-65-63, 7 (495) 942-45-21",,"sanazia@mail.ru, sanaciavero@mail.ru",doctor@sanacia.ru,http://sanacia.ru,Медицинские услуги,Стоматологические центры,"Расчёт по картам, Наличный расчёт",,,,,,,,,55.810376,37.453975,"[55.810376, 37.453975]",09.02.2020,old,midle,100 751 тыс. руб. в год,263.85911415644375,638.0152349913586,Щукинская,"[55.808827, 37.463772]",Щукино,14340.0,82.20038189123704,Щукино (выс.),"[55.80970491, 37.45342849]",218611.9248675489,3134.8950026006514,6286.540298507463,115268.3552238806,5239.470691994573,22.0,1789.7400560301905,1.0,,,,,,,,,,,
2,"Санация, стоматологический центр",Московская область,Москва,Щукино район,"Академика Бочвара, 10а",123098.0,"7 (499) 193-46-79, 7 (499) 193-47-79",,sanazia@mail.ru,doctor@sanacia.ru,http://sanacia.ru,Медицинские услуги,Стоматологические центры,Наличный расчёт,,,,,,,,,55.803319,37.454539,"[55.803319, 37.454539]",09.02.2020,old,midle,340 083 тыс. руб. в год,77.75397203218988,843.3650825300343,Щукинская,"[55.808827, 37.463772]",Щукино,14340.0,165.32132629380513,Ин-т им. Гамалеи,"[55.8023736, 37.45657188]",18983.435723697257,272.2224682778187,4136.229850746269,115105.85373134329,5755.292686567164,20.0,170.95571007847013,1.0,,,,,,,,,,,
3,"Санация, стоматологический центр",Московская область,Москва,Строгино район,"Кулакова, 20 ст1а",123592.0,7 (495) 757-96-87,7-985-895-00-74,sanazia@mail.ru,doctor@sanacia.ru,http://sanacia.ru,Медицинские услуги,Стоматологические центры,Наличный расчёт,,,,,,,,,55.805428,37.392213,"[55.805428, 37.392213]",09.02.2020,old,midle,43 381 тыс. руб. в год,51.189218823732354,710.6440992073502,Строгино,"[55.803691, 37.403118]",Строгино,9500.0,84.09541959853124,Строгинский бульв.,"[55.80510476, 37.39342509]",8227.855428681618,78.16462657247537,5502.376119402986,210618.94029850748,11085.207384131973,19.0,51.670932092120566,1.0,,,,,,,,,,,
4,"32 Дент, стоматологическая клиника",Московская область,Москва,Академический район,"Винокурова, 2",117449.0,7 (495) 266-97-02,,info@32dent.ru,olga_1622@mail.ru,http://www.32dent.ru,Медицинские услуги,Стоматологические центры,"Расчёт по картам, Наличный расчёт",https://vk.com/clinic32dent,https://twitter.com/@clinic32dent,https://facebook.com/clinic32dent,,,https://ok.ru/clinic32dent,https://youtube.com/user/Clinic32dent,,55.690036,37.580868,"[55.690036, 37.580868]",09.02.2020,old,midle,293 189 тыс. руб. в год,70.12265183530607,542.4038998824391,Академическая,"[55.68766, 37.573339]",Академический,18736.0,77.32271744433885,К/т Улан-Батор,"[55.6897824905, 37.5797233724]",15439.96498330484,289.2831839271995,4780.567164179105,305844.8149253731,5365.698507462686,57.0,63.7438033355373,1.0,,,,,,,,,,,
5,"32, стоматологический центр",Московская область,Москва,Орехово-Борисово Южное район,"Гурьевский проезд, 15 к2",115597.0,7 (495) 398-13-56,,,,http://www.stom32.ru,Медицинские услуги,Стоматологические центры,"Расчёт по картам, Наличный расчёт, Оплата через банк",,,,,,,,,55.606609,37.746278,"[55.606609, 37.746278]",09.02.2020,old,midle,285 557 тыс. руб. в год,389.4869025443435,640.4145806637808,Зябликово,"[55.612329, 37.745205]",Зябликово,30387.0,95.24314583444034,14-й мкр. Орехово-Борисова (к/ст),"[55.60701809, 37.74495079]",476338.1483762629,14474.4873147095,6231.74328358209,302184.752238806,9747.895233509871,31.0,5864.501957185527,0.0,,,,,,,,,,,
6,"American Russian Dental Center, стоматологическая клиника",Московская область,Москва,,"Садовая-Кудринская, 21а",123001.0,7 (495) 797-97-59,,,dentist@ardc.ru,http://www.ardc.ru,Медицинские услуги,Стоматологические центры,"Расчёт по картам, Наличный расчёт",,,,,,,,https://instagram.com/a_r_d_c,55.765214,37.589178,"[55.765214, 37.589178]",09.02.2020,old,midle,30 111 тыс. руб. в год,67.99878755960958,674.8582607433547,Маяковская,"[55.769808, 37.596192]",Тверской,9144.0,75.78259102008695,М. Бронная ул.,"[55.76570652, 37.59001131]",14518.842244071513,132.7602934797899,2267.4626865671644,179720.98208955224,940.9475502070799,191.0,8.730205686419694,7.0,,,,,,,,,,,
7,"Avroraclinic, клиника стоматологии и косметологии",Московская область,Москва,Якиманка район,"Шаболовка, 23 к1",119049.0,"7 (495) 970-18-15, 7 (495) 988-83-35",,info@avroraclinic.ru,smirnova@avroraclinic.ru,http://www.avroraclinic.ru,"Красота / Здоровье, Медицинские услуги","Ногтевые студии, Стоматологические центры, Услуги косметолога, Услуги массажиста, Услуги по уходу за ресницами / бровями","Расчёт по картам, Наличный расчёт",,,https://facebook.com/avroraclinica,,,,,https://instagram.com/avroraclinica,55.723148,37.612803,"[55.723148, 37.612803]",09.02.2020,old,expensive,498 310 тыс. руб. в год,304.47370130780325,575.3012175465362,Шаболовская,"[55.718821, 37.607799]",Донской,9045.0,119.84915565497043,Ф-ка Ударница,"[55.7230364, 37.61090601]",291091.29723455047,2632.9207834865088,2080.3970149253732,143065.55820895522,1222.782548794489,117.0,282.6451712870987,5.0,,,,,,,,,,,
8,"Beautiful smile, стоматологическая клиника",Московская область,Москва,Савёловский район,"Петровско-Разумовский проезд, 15",127287.0,"7 (495) 761-99-09, 7 (495) 614-90-26",,,,,Медицинские услуги,Стоматологические центры,"Расчёт по картам, Наличный расчёт",,,,,,,,,55.79746,37.567461,"[55.79746, 37.567461]",09.02.2020,old,midle,55 560 тыс. руб. в год,43.9799056808975,1040.318976143284,Динамо,"[55.789704, 37.558212]",Аэропорт,17313.0,56.78263188842585,Писцовая ул.,"[55.7976739, 37.56828288]",6073.488805620012,105.15031169169927,8200.65671641791,263889.19701492536,3614.9205070537723,73.0,18.091615271886887,6.0,,,,,,,,,,,
9,"Bosco Clinica, стоматологическая клиника",Московская область,Москва,Тверской район,"Петровка, 10",107031.0,7 (495) 970-00-20,7-903-247-29-09,,clinica@bosco.ru,http://www.boscoclinica.ru,Медицинские услуги,Стоматологические центры,"Расчёт по картам, Наличный расчёт, Оплата через банк",,,,,,,,,55.762423,37.619873,"[55.762423, 37.619873]",09.02.2020,old,midle,409 018 тыс. руб. в год,79.25769350869379,261.9001546222973,Кузнецкий мост,"[55.761598, 37.62378]",Тверской,10660.0,56.12562269462637,Кузнецкий Мост,"[55.76196624, 37.62025128]",19724.795418198653,210.26631915799763,0.0,233677.14626865674,1229.8797172034565,190.0,13.899710361181317,35.0,,,,,,,,,,,
