,name,link,status,adress,square,coords,longitude,latitude,Класс:,rating
0,[' Особняк Bruce Premier office'],https://www.arendator.ru/objects/18567-bruce_premier_office/,torg_office_cntr,"['г. Москва, ЦАО, Пресненский, Брюсов переулок 2/14с9']",3236.0,"[55.758102, 37.6064029]",37.6064029,55.758102,,50.0
1,[' БЦ Судакова Плаза'],https://www.arendator.ru/objects/8514-sudakova_plaza/,torg_office_cntr,"['г. Москва, ЮВАО, Люблино, Судакова улица 10']",3752.0,"[55.6724247, 37.7447364]",37.7447364,55.6724247,B,50.0
2,[' БЦ Полёт'],https://www.arendator.ru/objects/9441-polt/,torg_office_cntr,"['г. Москва, ЦАО, Таганский, Воронцовская улица 35']",6500.0,"[55.734778, 37.6620779]",37.6620779,55.734778,B,50.0
3,[' БЦ Премьер'],https://www.arendator.ru/objects/9432-premer-1/,torg_office_cntr,"['г. Москва, САО, Тимирязевский, Тимирязевская улица 1']",15500.0,"[55.807526, 37.5705639]",37.5705639,55.807526,B+,50.0
4,[' БЦ Аквамарин'],https://www.arendator.ru/objects/9029-akvamarin-3/,torg_office_cntr,"['г. Москва, ЦАО, Замоскворечье, Озерковская набережная 22/24 стр.1']",78000.0,"[55.7405689, 37.6367567]",37.6367567,55.7405689,A,50.0
5,[' Бизнес-парк на Войковской'],https://www.arendator.ru/objects/9271-na_vojkovskoj/,torg_office_cntr,"['г. Москва, САО, Войковский, Старопетровский проезд 7А стр.7']",20000.0,"[55.824645, 37.500715]",37.500715,55.824645,B,50.0
6,[' БЦ Знаменка'],https://www.arendator.ru/objects/8942-znamenka/,torg_office_cntr,"['г. Москва, ЦАО, Хамовники, Знаменка улица 7с3']",19500.0,"[55.7492859, 37.607429]",37.607429,55.7492859,A,50.0
7,[' БЦ Преображенский'],https://www.arendator.ru/objects/9362-preobrazhenskij-2/,torg_office_cntr,"['г. Москва, ВАО, Преображенское, Электрозаводская улица 24']",17000.0,"[55.788414, 37.707878]",37.707878,55.788414,B,50.0
8,[' Бизнес-парк Правда'],https://www.arendator.ru/objects/30250-pravda/,torg_office_cntr,"['г. Москва, САО, Беговой, Правды улица 24']",147349.0,"[55.7888524, 37.5830443]",37.5830443,55.7888524,B,50.0
9,[' БЦ 44 км МКАД'],https://www.arendator.ru/objects/9282-44_km_mkad/,torg_office_cntr,"['г. Москва, МКАД  44']",3000.0,"[55.631743, 37.4690141]",37.4690141,55.631743,B,50.0
10,[' Торгово-офисный центр Театральная аллея'],https://www.arendator.ru/objects/8015-teatralnaya_alleya/,torg_office_cntr,"['г. Москва, Театральная аллея  Вл.  2']",28000.0,"[55.793087, 37.5595929]",37.5595929,55.793087,A,50.0
11,[' Деловой центр Искра'],https://www.arendator.ru/objects/30244-iskra-1/,torg_office_cntr,"['г. Москва, СВАО, Бабушкинский, Искры улица 31к1']",15584.0,"[55.863644, 37.653304]",37.653304,55.863644,B+,50.0
12,[' БЦ Efremova 10'],https://www.arendator.ru/objects/9326-efremova_10/,torg_office_cntr,"['г. Москва, ЦАО, Хамовники, Ефремова улица 10']",11177.0,"[55.7253218, 37.57521930000001]",37.57521930000001,55.7253218,A,50.0
13,[' БЦ Silver City'],https://www.arendator.ru/objects/9320-silver_city-1/,torg_office_cntr,"['г. Москва, ЦАО, Таганский, Серебряническая набережная 29']",56032.0,"[55.7504815, 37.6524515]",37.6524515,55.7504815,A,50.0
14,[' БЦ Кулон Билдинг'],https://www.arendator.ru/objects/9036-kulon_bilding/,torg_office_cntr,"['г. Москва, ЮЗАО, Южное Бутово, 8 Марта улица 14']",30186.0,"[55.508015, 37.584263]",37.584263,55.508015,A,50.0
15,[' Коворкинг Re: Work'],https://www.arendator.ru/objects/49932-re_work/,torg_office_cntr,"['г. Москва, САО, Беговой, Правды улица 24']",,"[55.7888524, 37.5830443]",37.5830443,55.7888524,,50.0
16,[' БЦ Большая Переяславская 46 стр.2'],https://www.arendator.ru/objects/35190-bolshaya_pereyaslavskaya_46_str2/,torg_office_cntr,"['г. Москва, ЦАО, Мещанский, Переяславская Б. улица 46с2']",14700.0,"[55.786724, 37.6409981]",37.6409981,55.786724,B+,50.0
17,[' БЦ iCube'],https://www.arendator.ru/objects/9218-icube/,torg_office_cntr,"['г. Москва, ЮЗАО, Академический, Нахимовский проспект 58']",24870.0,"[55.6838445, 37.5543965]",37.5543965,55.6838445,A,50.0
18,[' Офисно-складской комплекс на 1-м Котляковском'],https://www.arendator.ru/objects/8794-na_1-m_kotlyakovskom/,torg_office_cntr,"['г. Москва, ЮАО, Москворечье-Сабурово, Котляковский 1-й переулок 2-4']",1000.0,"[55.6542262, 37.6327354]",37.6327354,55.6542262,C,50.0
19,[' Торгово-офисный центр Олимпик Плаза'],https://www.arendator.ru/objects/9806-olimpik_plaza-1/,torg_office_cntr,"['г. Москва, СВАО, Алексеевский, Мира проспект 33 корп 1']",22000.0,"[55.8209169, 37.6417703]",37.6417703,55.8209169,B+,50.0
20,[' БЦ Перовский'],https://www.arendator.ru/objects/35125-perovskij-1/,torg_office_cntr,"['г. Москва, ВАО, Новогиреево, Полимерная улица 8']",20000.0,"[55.746025, 37.80031200000001]",37.80031200000001,55.746025,C,50.0
21,[' Офисное здание Старая Басманная 21/4 с1'],https://www.arendator.ru/objects/7272-staraya_basmannaya_214_s1/,torg_office_cntr,"['г. Москва, Старая Басманная  21/4']",5500.0,"[55.7668094, 37.6635452]",37.6635452,55.7668094,B,50.0
22,[' БЦ Орликов Плаза'],https://www.arendator.ru/objects/9440-orlikov_plaza/,torg_office_cntr,"['г. Москва, ЦАО, Красносельский, Орликов переулок 5с1']",32815.0,"[55.772343, 37.64971]",37.64971,55.772343,B,50.0
23,[' Особняк Гагаринский переулок 33'],https://www.arendator.ru/objects/35245-gagarinskij_pereulok_33/,torg_office_cntr,"['г. Москва, ЦАО, Хамовники, Гагаринский переулок 33']",805.0,"[55.74481729999999, 37.5899621]",37.5899621,55.74481729999999,,50.0
24,[' БЦ Эрмитаж Плаза'],https://www.arendator.ru/objects/9223-ermitazh_plaza/,torg_office_cntr,"['г. Москва, ЦАО, Тверской, Краснопролетарская улица 4']",43400.0,"[55.7744593, 37.608616]",37.608616,55.7744593,A,50.0
25,[' БЦ на Гончарной 21'],https://www.arendator.ru/objects/9473-na_goncharnoj_21/,torg_office_cntr,"['г. Москва, ЦАО, Таганский, Гончарная набережная 21']",5120.0,"[55.743567, 37.6492697]",37.6492697,55.743567,A,50.0
26,[' Офисное здание на Анненской'],https://www.arendator.ru/objects/8378-na_annenskoj/,torg_office_cntr,"['г. Москва, СВАО, Марьина роща, Анненская улица 17Б 1']",1495.0,"[55.8042046, 37.609214]",37.609214,55.8042046,A,50.0
27,[' БЦ Triangle House'],https://www.arendator.ru/objects/9212-triangle_house/,torg_office_cntr,"['г. Москва, ЦАО, Красносельский, Красносельская Верхн. улица 3Г']",2700.0,"[55.785439, 37.6645303]",37.6645303,55.785439,B,50.0
28,[' Коворкинг Свободное плавание'],https://www.arendator.ru/objects/32785-svobodnoe_plavanie/,torg_office_cntr,"['г. Москва, ЮАО, Нагорный, Варшавское шоссе 28А']",,"[55.682846, 37.61790209999999]",37.61790209999999,55.682846,,50.0
29,[' БЦ Аэро Сити'],https://www.arendator.ru/objects/8878-aero_siti/,torg_office_cntr,"['г. Химки (Московская обл), Куркинское шоссе 2']",44250.0,"[55.883069, 37.427056]",37.427056,55.883069,A,50.0
30,[' БЦ Кадашевский'],https://www.arendator.ru/objects/9058-kadashevskij/,torg_office_cntr,"['г. Москва, ЦАО, Якиманка, Кадашевский 3-й переулок 5 стр.1']",3800.0,"[55.741805, 37.62347889999999]",37.62347889999999,55.741805,A,50.0
31,[' Бизнес-парк Румянцево'],https://www.arendator.ru/objects/9858-rumyancevo-1/,torg_office_cntr,"['г. Москва, Киевское шоссе 1']",487000.0,"[55.6336749, 37.4392714]",37.4392714,55.6336749,B+,50.0
32,[' БЦ Дом Чайковского'],https://www.arendator.ru/objects/9421-dom_chajkovskogo/,torg_office_cntr,"['г. Москва, ЦАО, Хамовники, Барыковский переулок 7']",1845.0,"[55.741623, 37.596307]",37.596307,55.741623,A,50.0
33,[' Коворкинг Антикафе на Водном стадионе'],https://www.arendator.ru/objects/32874-antikafe_na_vodnom_stadione/,torg_office_cntr,"['г. Москва, САО, Войковский, Головинское шоссе 4']",,"[55.839185, 37.4884258]",37.4884258,55.839185,,50.0
34,[' Коворкинг #tceh'],https://www.arendator.ru/objects/32769-tceh/,torg_office_cntr,"['г. Москва, ЦАО, Красносельский, Мясницкая улица 13с18']",,"[55.7625948, 37.6343384]",37.6343384,55.7625948,,50.0
35,[' Офисное здание Фабричный дворик'],https://www.arendator.ru/objects/8129-fabrichnyj_dvorik/,torg_office_cntr,"['г. Москва, ЦАО, Хамовники, Учебный переулок 2']",500.0,"[55.72393899999999, 37.5586679]",37.5586679,55.72393899999999,B,50.0
36,[' БЦ Melnikoff House'],https://www.arendator.ru/objects/9154-melnikoff_house/,torg_office_cntr,"['г. Москва, ЦАО, Басманный, Ольховская улица 4 корп.2']",19000.0,"[55.773388, 37.6662601]",37.6662601,55.773388,A,50.0
37,[' Особняк Б Коммунистическая 17 стр.9'],https://www.arendator.ru/objects/7335-b_kommunisticheskaya_17_str9/,torg_office_cntr,"['г. Москва, Б Коммунистическая  17  стр.9']",600.0,"[55.755826, 37.6172999]",37.6172999,55.755826,,50.0
38,[' Торгово-офисный центр Садовая галерея'],https://www.arendator.ru/objects/10013-sadovaya_galereya-1/,torg_office_cntr,"['г. Москва, ЦАО, Мещанский, Сухаревская М. площадь 12']",12000.0,"[55.772405, 37.6314527]",37.6314527,55.772405,A,50.0
39,[' БЦ Elit Holding'],https://www.arendator.ru/objects/9494-elit_holding/,torg_office_cntr,"['г. Москва, ЦАО, Пресненский, Поварская улица 10 стр.1']",7000.0,"[55.7535043, 37.598257]",37.598257,55.7535043,B+,50.0
40,[' Особняк Торгово-офисный центр Арбате 6к2'],https://www.arendator.ru/objects/11898-torgovo-ofisnyj_centr_arbate_6k2/,torg_office_cntr,"['г. Москва, ЦАО, Арбат, Арбат улица 6к2']",7050.0,"[55.7503453, 37.5943753]",37.5943753,55.7503453,,50.0
41,[' Офисно-складской комплекс на Летниковской'],https://www.arendator.ru/objects/5999-na_letnikovskoj/,torg_office_cntr,"['г. Москва, ЮАО, Даниловский, Летниковская улица 6 А']",6000.0,"[55.72642699999999, 37.643913]",37.643913,55.72642699999999,,50.0
42,[' БЦ Нииполиграфмаш'],https://www.arendator.ru/objects/9264-niipoligrafmash/,torg_office_cntr,"['г. Москва, ЮЗАО, Черемушки, Профсоюзная улица 57']",21225.0,"[55.6623949, 37.547028]",37.547028,55.6623949,B,50.0
43,[' Офисное здание на Чистом переулке'],https://www.arendator.ru/objects/7745-na_chistom_pereulke/,torg_office_cntr,"['г. Москва, ЦАО, Хамовники, Чистый переулок 4']",1000.0,"[55.743133, 37.5922339]",37.5922339,55.743133,A,50.0
44,[' БЦ Ямское Плаза'],https://www.arendator.ru/objects/9077-yamskoe_plaza/,torg_office_cntr,"['г. Москва, САО, Беговой, Ямского Поля 5-я улица 5 стр.1']",24300.0,"[55.785368, 37.584608]",37.584608,55.785368,A,50.0
45,[' БЦ Садовая Плаза'],https://www.arendator.ru/objects/9225-sadovaya_plaza-1/,torg_office_cntr,"['г. Москва, ЦАО, Тверской, Долгоруковская улица 7']",16250.0,"[55.77378, 37.6036249]",37.6036249,55.77378,A,50.0
46,[' БЦ Sokol Plaza'],https://www.arendator.ru/objects/9458-sokol_plaza-1/,torg_office_cntr,"['г. Москва, САО, Аэропорт, Усиевича улица 20 корп.1']",3500.0,"[55.80776299999999, 37.520847]",37.520847,55.80776299999999,B,50.0
47,[' БЦ Savinski (Саввинский)'],https://www.arendator.ru/objects/9186-savinski_savvinskij/,torg_office_cntr,"['г. Москва, ЦАО, Хамовники, Саввинский Б. переулок 11']",27000.0,"[55.7348416, 37.56826760000001]",37.56826760000001,55.7348416,A,50.0
48,[' БЦ Capital House'],https://www.arendator.ru/objects/9006-capital_house-3/,torg_office_cntr,"['г. Москва, ЮАО, Даниловский, Летниковская улица 11/10 стр.1-28']",43000.0,"[55.724743, 37.6449771]",37.6449771,55.724743,B,50.0
49,[' Деловой центр JAZZ (Джаз)'],https://www.arendator.ru/objects/32584-jazz_dzhaz/,torg_office_cntr,"['г. Москва, СВАО, Марьина роща, Сущевский Вал улица 49']",21677.0,"[55.7934468, 37.61182790000001]",37.61182790000001,55.7934468,B+,50.0
50,"[' Офисно-складской комплекс 2-ой Силикатный, 34']",https://www.arendator.ru/objects/30212-2-oj_silikatnyj_34/,torg_office_cntr,"['г. Москва, СЗАО, Хорошево-Мневники, Силикатный 2-й проезд 34с1']",11080.0,"[55.772223, 37.499635]",37.499635,55.772223,B,50.0
51,[' БЦ Chaika Plaza 8'],https://www.arendator.ru/objects/9390-chaika_plaza_8/,torg_office_cntr,"['г. Москва, ЦАО, Красносельский, Сретенка улица 12']",3686.0,"[55.7678784, 37.6321194]",37.6321194,55.7678784,A,50.0
52,[' БЦ Мосэнка Парк Тауэрс'],https://www.arendator.ru/objects/8892-mosenka_park_tauers-1/,torg_office_cntr,"['г. Москва, ЦАО, Таганский, Таганская площадь 17-23']",16637.0,"[55.7402015, 37.6631248]",37.6631248,55.7402015,A,50.0
53,[' Офисное здание Щепкина 6'],https://www.arendator.ru/objects/8043-cshepkina_6/,torg_office_cntr,"['г. Москва, ЦАО, Мещанский, Щепкина улица 6']",1000.0,"[55.7744004, 37.62920099999999]",37.62920099999999,55.7744004,B,50.0
54,[' Офисно-складской комплекс Рябиновая 10'],https://www.arendator.ru/objects/30282-ryabinovaya_10/,torg_office_cntr,"['г. Домодедово (Московская обл), Рябиновая  10']",2500.0,"[55.430591, 37.735233]",37.735233,55.430591,,50.0
55,[' Коворкинг Арт Фабрика'],https://www.arendator.ru/objects/32898-art_fabrika/,torg_office_cntr,"['г. Москва, ЦАО, Арбат, Арбат улица 36']",,"[55.74894, 37.5890942]",37.5890942,55.74894,,50.0
56,[' Офисно-складской комплекс ОАО «Перовское»'],https://www.arendator.ru/objects/14572-oao_laquoperovskoeraquo/,torg_office_cntr,"['г. Москва, ВАО, Новогиреево, Кусковская улица 12']",70000.0,"[55.738495, 37.777761]",37.777761,55.738495,,50.0
57,[' Офисно-жилой комплекс на Сретенском 6/1'],https://www.arendator.ru/objects/7917-na_sretenskom_61/,torg_office_cntr,"['г. Москва, ЦАО, Красносельский, Сретенский бульвар 6/1']",14542.0,"[55.7658075, 37.6351257]",37.6351257,55.7658075,B,50.0
58,[' БЦ Самотечная 7 с.2'],https://www.arendator.ru/objects/8961-samotechnaya_7_s2/,torg_office_cntr,"['г. Москва, Самотечная площадь 7/5 стр.21']",5000.0,"[55.7759916, 37.618378]",37.618378,55.7759916,B,50.0
59,[' Офисно-складской комплекс Шереметьево'],https://www.arendator.ru/objects/13498-sheremetevo/,torg_office_cntr,"['г. Долгопрудный (Московская обл), Новое  56']",20000.0,"[55.9722539, 37.5118806]",37.5118806,55.9722539,B,50.0
60,[' БЦ Головинские Пруды'],https://www.arendator.ru/objects/9205-golovinskie_prudy/,torg_office_cntr,"['г. Москва, САО, Коптево, Михалковская улица 63Бс4']",17500.0,"[55.8359629, 37.5104434]",37.5104434,55.8359629,B+,50.0
61,[' Офисное здание на Гостиничном 6-2'],https://www.arendator.ru/objects/8382-na_gostinichnom_6-2/,torg_office_cntr,"['г. Москва, СВАО, Марфино, Гостиничный проезд 6-2']",12000.0,"[55.8445455, 37.5767324]",37.5767324,55.8445455,B+,50.0
62,[' БЦ Каскад'],https://www.arendator.ru/objects/9115-kaskad-3/,torg_office_cntr,"['г. Москва, ЦАО, Тверской, Брестская 1-я улица 35']",6000.0,"[55.7731197, 37.5883703]",37.5883703,55.7731197,B,50.0
63,[' Офисное здание Кузнецкий Мост 19Б'],https://www.arendator.ru/objects/8541-kuzneckij_most_19b/,torg_office_cntr,"['г. Москва, ЦАО, Мещанский, Кузнецкий Мост улица 19Б стр.2']",2852.0,"[55.762883, 37.62586599999999]",37.62586599999999,55.762883,B+,50.0
64,[' БЦ Весна'],https://www.arendator.ru/objects/9479-vesna-1/,torg_office_cntr,"['г. Москва, ВАО, Сокольники, Колодезный переулок 3 стр.25']",7915.0,"[55.796257, 37.701092]",37.701092,55.796257,B+,50.0
65,[' Коворкинг ЦУБ ЮАО'],https://www.arendator.ru/objects/32775-cub_yuao/,torg_office_cntr,"['г. Москва, ЮАО, Даниловский, Автозаводская улица 1']",,"[55.7038563, 37.6347329]",37.6347329,55.7038563,,50.0
66,[' БЦ Марьина Роща'],https://www.arendator.ru/objects/8025-marina_rocsha/,torg_office_cntr,"['г. Москва, Марьиной Рощи 17-й проезд Владение 4']",17500.0,"[55.8085475, 37.6106685]",37.6106685,55.8085475,B+,50.0
67,[' Офисное здание на Нащокинском'],https://www.arendator.ru/objects/7171-na_nacshokinskom/,torg_office_cntr,"['г. Москва, ЦАО, Хамовники, Нащокинский переулок 5-3/12 стр.4']",800.0,"[55.7468769, 37.5980182]",37.5980182,55.7468769,B,50.0
68,[' БЦ Особняк на Большой Пироговской'],https://www.arendator.ru/objects/7549-osobnyak_na_bolshoj_pirogovskoj/,torg_office_cntr,"['г. Москва, ЦАО, Хамовники, Пироговская Б. улица 11/16']",586.0,"[55.7350222, 37.578715]",37.578715,55.7350222,B,50.0
69,[' Офисное здание на Известковом 5'],https://www.arendator.ru/objects/8325-na_izvestkovom_5/,torg_office_cntr,"['г. Москва, ЦАО, Таганский, Известковый переулок 5']",1640.0,"[55.74445679999999, 37.6558802]",37.6558802,55.74445679999999,B+,50.0
70,[' БЦ Атриум Билдинг'],https://www.arendator.ru/objects/7379-atrium_bilding/,torg_office_cntr,"['г. Москва, ЦАО, Басманный, Машкова улица 13 стр.1']",8000.0,"[55.764426, 37.652089]",37.652089,55.764426,A,50.0
71,[' БЦ Condor Trade'],https://www.arendator.ru/objects/9509-condor_trade/,torg_office_cntr,"['г. Москва, ЦАО, Тверской, Краснопролетарская улица 30 стр.1']",3166.0,"[55.778758, 37.606203]",37.606203,55.778758,A,50.0
72,[' БЦ Проспект Мира 72'],https://www.arendator.ru/objects/7392-prospekt_mira_72/,torg_office_cntr,"['г. Москва, ЦАО, Мещанский, Мира проспект 72']",20000.0,"[55.7889369, 37.6360574]",37.6360574,55.7889369,A,50.0
73,[' Деловой центр Бизнес Центр Вятка'],https://www.arendator.ru/objects/13988-biznes_centr_vyatka/,torg_office_cntr,"['г. Москва, САО, Савеловский, Вятская улица 35 стр.4']",94859.0,"[55.7982266, 37.5817558]",37.5817558,55.7982266,B+,50.0
74,[' БЦ Складочная 1 стр.53'],https://www.arendator.ru/objects/9332-skladochnaya_1_str53/,torg_office_cntr,"['г. Москва, СВАО, Марьина роща, Складочная улица 1 стр.53']",4370.0,"[55.801948, 37.595445]",37.595445,55.801948,B+,50.0
75,[' Офисное здание Ленинский 2'],https://www.arendator.ru/objects/7406-leninskij_2/,torg_office_cntr,"['г. Москва, ЦАО, Якиманка, Ленинский проспект 2']",12000.0,"[55.7239137, 37.6025604]",37.6025604,55.7239137,C,50.0
76,[' Особняк Малая Пироговская д.18 стр.1'],https://www.arendator.ru/objects/7192-malaya_pirogovskaya_d18_str1/,torg_office_cntr,"['г. Москва, ЦАО, Хамовники, Пироговская М. улица 18стр1']",2146.0,"[55.728671, 37.5691885]",37.5691885,55.728671,,50.0
77,[' БЦ Алексеевский дом'],https://www.arendator.ru/objects/9500-alekseevskij_dom-1/,torg_office_cntr,"['г. Москва, ЦАО, Хамовники, Остоженка улица 28']",3000.0,"[55.7403006, 37.5963992]",37.5963992,55.7403006,A,50.0
78,[' БЦ StreamLine Plaza'],https://www.arendator.ru/objects/9028-streamline_plaza/,torg_office_cntr,"['г. Москва, Энтузиастов бульвар 34']",13087.0,"[55.74667789999999, 37.6820676]",37.6820676,55.74667789999999,B+,50.0
