,name,link,status,adress,square,coords,longitude,latitude,rating,Класс:
0,ТорговыйцентрЩелково,https://roomfi.ru/torgovye-tsentry/51440-torgovyy-tsentr-shchelkovo/,torg_cntr,"Москва, Щёлковское шоссе, 100",60000.0,"[55.812362, 37.8320614]",37.8320614,55.812362,50.0,Not_defined
1,Торгово-развлекательныйцентрXL(ИксЭль),https://roomfi.ru/torgovye-tsentry/51182-torgovo-razvlekatelnyy-tsentr-xl/,torg_cntr,"Москва, Дмитровское шоссе, 89",32000.0,"[55.863811, 37.5452283]",37.5452283,55.863811,50.0,Not_defined
2,ТорговыйцентрБухарест,https://roomfi.ru/torgovye-tsentry/51199-torgovyy-tsentr-bukharest/,torg_cntr,"Москва, улица Каховка, 27",32000.0,"[55.655364, 37.5720159]",37.5720159,55.655364,50.0,Not_defined
3,ТорговыйцентрЭлектрониканаПресне,https://roomfi.ru/torgovye-tsentry/51069-torgovyy-tsentr-elektronika-na-presne/,torg_cntr,"Москва, Звенигородское шоссе, 4",10000.0,"[55.7645721, 37.5573711]",37.5573711,55.7645721,50.0,Not_defined
4,Торгово-развлекательныйцентрВиттемолл,https://roomfi.ru/torgovye-tsentry/51180-torgovo-razvlekatelnyy-tsentr-vitte-moll/,torg_cntr,"Москва, Венёвская улица, 6",30000.0,"[55.5479389, 37.5433213]",37.5433213,55.5479389,50.0,Not_defined
5,ТорговыйцентрМолодежный,https://roomfi.ru/torgovye-tsentry/51264-torgovyy-tsentr-molodezhnyy/,torg_cntr,"Москва, Можайское шоссе, 31",11691.0,"[55.7187844, 37.421115]",37.421115,55.7187844,50.0,Not_defined
6,Торгово-развлекательныйцентрМиля,https://roomfi.ru/torgovye-tsentry/52971-torgovo-razvlekatelnyy-tsentr-milya/,torg_cntr,"Москва, улица Авиаконструктора Миля, вл7",38000.0,"[55.68655529999999, 37.85473]",37.85473,55.68655529999999,50.0,Not_defined
7,Торгово-офисныйцентрКоньковоПассаж,https://roomfi.ru/torgovye-tsentry/51187-torgovo-ofisnyy-tsentr-konkovo-passazh/,torg_cntr,"Москва, Профсоюзная улица, 2/22",22000.0,"[55.6876428, 37.5725442]",37.5725442,55.6876428,50.0,Not_defined
8,ТорговыйцентрКоломенский,https://roomfi.ru/torgovye-tsentry/50952-torgovyy-tsentr-kolomenskiy/,torg_cntr,"Москва, проспект Андропова, 23",3200.0,"[55.67827089999999, 37.6650196]",37.6650196,55.67827089999999,50.0,Not_defined
9,ТорговыйцентрМегакомБратиславская,https://roomfi.ru/torgovye-tsentry/51481-torgovyy-tsentr-megakom-bratislavskaya/,torg_cntr,"Москва, Братиславская улица, 18к1",1700.0,"[55.6576152, 37.7597147]",37.7597147,55.6576152,50.0,Not_defined
10,ТорговыйцентрОгниСтолицы,https://roomfi.ru/torgovye-tsentry/51067-torgovyy-tsentr-ogni-stolitsy/,torg_cntr,"Москва, Волочаевская улица, 12Ас1",5000.0,"[55.7561301, 37.6822848]",37.6822848,55.7561301,50.0,Not_defined
11,Торгово-офисныйцентрNikolskayaPlaza(НикольскаяПлаза),https://roomfi.ru/torgovye-tsentry/51439-torgovo-ofisnyy-tsentr-nikolskaya-plaza/,torg_cntr,"Москва, Никольская улица, 10",36000.0,"[55.75793789999999, 37.624493]",37.624493,55.75793789999999,50.0,Not_defined
12,ТорговыйцентрЧеркизовскийпассаж,https://roomfi.ru/torgovye-tsentry/50977-torgovyy-tsentr-cherkizovskiy-passazh/,torg_cntr,"Москва, Окружной проезд, 2Ас1",9200.0,"[55.799037, 37.6954201]",37.6954201,55.799037,50.0,Not_defined
