number,housing_median_age,total_rooms,total_bedrooms,median_income,median_house_value,ocean_proximity
15000,33.0,3880.0,770.0,3.6848,140700.0,NEAR OCEAN
15001,12.0,3301.0,963.0,1.8594,119200.0,NEAR OCEAN
15002,5.0,2878.0,785.0,1.7179,132000.0,NEAR OCEAN
15003,36.0,2297.0,418.0,3.5192,144000.0,NEAR OCEAN
15004,29.0,2767.0,612.0,2.8306,142900.0,NEAR OCEAN
15005,43.0,1718.0,344.0,2.7014,133700.0,NEAR OCEAN
15006,34.0,1796.0,428.0,2.875,161200.0,<1H OCEAN
15007,15.0,1204.0,326.0,1.0278,154200.0,<1H OCEAN
15008,40.0,2523.0,488.0,3.11,185700.0,<1H OCEAN
15009,33.0,3296.0,537.0,5.2835,217100.0,<1H OCEAN
15010,24.0,7879.0,1655.0,3.0897,187300.0,NEAR OCEAN
15011,26.0,4263.0,1037.0,2.734,148900.0,<1H OCEAN
15012,43.0,3171.0,665.0,3.141,141400.0,NEAR OCEAN
15013,37.0,4879.0,906.0,3.6625,154800.0,NEAR OCEAN
15014,37.0,2979.0,557.0,3.7368,152200.0,NEAR OCEAN
15015,16.0,7963.0,1881.0,2.9624,144700.0,<1H OCEAN
15016,19.0,4819.0,1492.0,2.3393,118200.0,<1H OCEAN
15017,37.0,1184.0,178.0,4.7941,161700.0,<1H OCEAN
15018,17.0,5481.0,1618.0,2.5707,171300.0,<1H OCEAN
15019,33.0,3481.0,708.0,3.3675,158200.0,<1H OCEAN
15020,31.0,2366.0,383.0,4.2992,174400.0,<1H OCEAN
15021,17.0,7352.0,1699.0,2.7006,166300.0,<1H OCEAN
15022,30.0,1802.0,401.0,2.8125,173500.0,<1H OCEAN
15023,22.0,3626.0,824.0,2.8594,189600.0,<1H OCEAN
15024,34.0,3415.0,608.0,4.0549,223700.0,<1H OCEAN
15025,24.0,2311.0,536.0,2.9,185200.0,<1H OCEAN
15026,34.0,3330.0,723.0,2.6678,164200.0,<1H OCEAN
15027,43.0,841.0,192.0,3.0179,149300.0,<1H OCEAN
15028,31.0,3776.0,815.0,3.4421,155300.0,<1H OCEAN
15029,20.0,2616.0,597.0,2.9896,235600.0,<1H OCEAN
15030,31.0,2567.0,435.0,3.4659,163000.0,<1H OCEAN
15031,36.0,2211.0,384.0,4.0491,147900.0,<1H OCEAN
15032,33.0,2420.0,393.0,4.0658,165100.0,<1H OCEAN
15033,26.0,3623.0,703.0,3.7439999999999998,165800.0,<1H OCEAN
15034,29.0,1114.0,163.0,5.4333,222800.0,<1H OCEAN
15035,31.0,3256.0,726.0,3.4773,155800.0,<1H OCEAN
15036,35.0,2306.0,334.0,6.1103,301600.0,<1H OCEAN
15037,29.0,3558.0,447.0,8.093,379600.0,<1H OCEAN
15038,31.0,2545.0,373.0,4.3977,226800.0,<1H OCEAN
15039,35.0,2114.0,317.0,5.5,241400.0,<1H OCEAN
15040,33.0,2432.0,443.0,3.3906,138100.0,<1H OCEAN
15041,26.0,2807.0,630.0,2.1638,132800.0,<1H OCEAN
15042,26.0,8902.0,1413.0,4.7943,226900.0,<1H OCEAN
15043,21.0,4192.0,752.0,4.4306,159100.0,<1H OCEAN
15044,15.0,4058.0,511.0,7.5,316400.0,<1H OCEAN
15045,16.0,2770.0,406.0,6.6783,275000.0,<1H OCEAN
15046,8.0,3600.0,492.0,6.2609,307100.0,<1H OCEAN
15047,20.0,3425.0,448.0,6.2552,296400.0,<1H OCEAN
15048,25.0,3308.0,421.0,6.3191,303400.0,<1H OCEAN
15049,17.0,13559.0,2656.0,3.4339999999999997,193200.0,<1H OCEAN
15050,17.0,4234.0,770.0,3.6445,197600.0,<1H OCEAN
15051,35.0,2926.0,562.0,4.2014,143200.0,<1H OCEAN
15052,19.0,1747.0,291.0,4.875,187200.0,<1H OCEAN
15053,6.0,3123.0,495.0,5.4288,167800.0,<1H OCEAN
15054,18.0,2367.0,402.0,4.8125,210500.0,<1H OCEAN
15055,24.0,4055.0,742.0,4.5224,142000.0,<1H OCEAN
15056,23.0,5759.0,1258.0,3.0927,140600.0,<1H OCEAN
15057,32.0,1943.0,287.0,5.6846,208800.0,<1H OCEAN
15058,21.0,3770.0,491.0,6.7685,294700.0,<1H OCEAN
15059,21.0,7906.0,2292.0,1.8937,109800.0,<1H OCEAN
15060,19.0,3354.0,435.0,3.0192,142300.0,<1H OCEAN
15061,19.0,11391.0,3093.0,2.0326,123200.0,<1H OCEAN
15062,16.0,3920.0,1094.0,1.3291,120800.0,<1H OCEAN
15063,19.0,3008.0,693.0,2.6087,123800.0,<1H OCEAN
15064,35.0,1081.0,266.0,2.6324,133700.0,<1H OCEAN
15065,24.0,2493.0,693.0,1.8357,104200.0,<1H OCEAN
15066,19.0,4108.0,1101.0,1.9893,112500.0,<1H OCEAN
15067,17.0,5236.0,1325.0,2.3221,138800.0,<1H OCEAN
15068,37.0,1255.0,238.0,3.7019,138600.0,<1H OCEAN
15069,35.0,1113.0,236.0,2.9784,136400.0,<1H OCEAN
15070,32.0,1255.0,338.0,2.6635,113600.0,<1H OCEAN
15071,32.0,3756.0,662.0,3.8667,189700.0,<1H OCEAN
15072,28.0,5721.0,1029.0,3.963,164400.0,<1H OCEAN
15073,29.0,3657.0,538.0,5.2907,195800.0,<1H OCEAN
15074,29.0,1816.0,325.0,4.5662,150300.0,<1H OCEAN
15075,29.0,2045.0,398.0,3.0189,144100.0,<1H OCEAN
15076,25.0,4436.0,758.0,4.2386,201000.0,<1H OCEAN
15077,18.0,10968.0,1521.0,6.2787,250000.0,<1H OCEAN
15078,23.0,149.0,32.0,2.6458,112500.0,<1H OCEAN
15079,19.0,1573.0,471.0,2.1422,125000.0,<1H OCEAN
15080,15.0,3927.0,1018.0,2.4367,111400.0,<1H OCEAN
15081,22.0,4266.0,1010.0,2.8175,135200.0,<1H OCEAN
15082,28.0,3042.0,729.0,2.4141,137500.0,<1H OCEAN
15083,19.0,4574.0,1152.0,2.065,124100.0,<1H OCEAN
15084,25.0,3421.0,803.0,3.3689999999999998,134400.0,<1H OCEAN
15085,34.0,1765.0,284.0,5.0118,165300.0,<1H OCEAN
15086,23.0,2668.0,528.0,3.3669,158900.0,<1H OCEAN
15087,26.0,4129.0,714.0,4.2586,171000.0,<1H OCEAN
15088,22.0,4331.0,637.0,5.4834,232000.0,<1H OCEAN
15089,33.0,1518.0,268.0,3.5586,160400.0,<1H OCEAN
15090,17.0,1312.0,394.0,1.6686,112500.0,<1H OCEAN
15091,19.0,1867.0,538.0,2.0685,130000.0,<1H OCEAN
15092,29.0,2447.0,466.0,2.6429,125400.0,<1H OCEAN
15093,19.0,5308.0,1058.0,2.9161,135700.0,<1H OCEAN
15094,12.0,5535.0,1434.0,2.5949,108300.0,<1H OCEAN
15095,31.0,1277.0,293.0,3.1106,147700.0,<1H OCEAN
15096,29.0,2378.0,638.0,2.9097,152500.0,<1H OCEAN
15097,35.0,1737.0,285.0,3.2411,159200.0,<1H OCEAN
15098,8.0,2517.0,632.0,2.136,143500.0,<1H OCEAN
15099,15.0,2619.0,599.0,2.543,100000.0,<1H OCEAN
15100,18.0,3038.0,592.0,3.8024,144900.0,<1H OCEAN
15101,17.0,6659.0,1402.0,2.949,117300.0,<1H OCEAN
15102,20.0,6696.0,1326.0,3.1979,154600.0,<1H OCEAN
15103,32.0,5211.0,949.0,4.0931,134200.0,<1H OCEAN
15104,12.0,3570.0,713.0,4.0882,134500.0,<1H OCEAN
15105,17.0,15401.0,3280.0,3.3067,121900.0,<1H OCEAN
15106,23.0,1951.0,395.0,3.1023,143300.0,<1H OCEAN
15107,17.0,4013.0,673.0,5.131,148300.0,<1H OCEAN
15108,11.0,9724.0,1796.0,4.1716,166100.0,<1H OCEAN
15109,14.0,3064.0,496.0,4.4347,160300.0,<1H OCEAN
15110,17.0,4713.0,740.0,4.8286,158500.0,<1H OCEAN
